feature,XGB_gain
EVI_dtharv,0.039467156
season_span_days,0.033344276
NDVI_dtharv,0.03236735
CIre2_integral,0.026502145
CIre_integral,0.025340822
RVI_dtharv,0.025262076
GNDVI_doy_peak,0.024417084
GNDVI_integral,0.02378732
RENDVI_integral,0.021333203
CROSS_RATIO_DB_dtharv,0.021288129
NDVI_int_x_NDRE_int,0.020532828
NDMI_dtharv,0.018996194
SAVI_integral,0.018956702
CROSS_RATIO_DB_doy_peak,0.018506356
RENDVI_doy_peak,0.01812229
WDRVI_integral,0.017854631
B12_mean_integral,0.017500723
VH_mean_dtharv,0.01712643
B08_mean_doy_peak,0.016606143
B12_mean_doy_peak,0.01650725
B04_mean_integral,0.016377239
EVI_integral,0.016287327
B11_mean_integral,0.016232625
VV_mean_dtharv,0.016126735
B04_mean_doy_peak,0.015982032
NDRE_doy_peak,0.015959792
VH_backscatter_db_integral,0.015818732
CCCI_integral,0.015814204
B08_mean_integral,0.01575946
B8A_mean_integral,0.015353951
VV_mean_integral,0.014957851
NDWI_doy_peak,0.014915689
NDVI_doy_peak,0.014491069
RVI_integral,0.014490499
RFDI_integral,0.01416462
VH_backscatter_db_doy_peak,0.014151612
VV_mean_doy_peak,0.0141011225
CROSS_RATIO_DB_integral,0.014005223
NDMI_doy_peak,0.014004492
RVI_doy_peak,0.013918693
DpRVI_doy_peak,0.013841684
MSAVI2_doy_peak,0.013733125
NBR_doy_peak,0.013678222
NDWI_dtharv,0.013611009
NDWI_integral,0.013547999
SAVI_doy_peak,0.01317809
NDRE_dtharv,0.013169554
CCCI_doy_peak,0.013128849
B11_mean_doy_peak,0.01311399
NDVI_integral,0.012924813
RFDI_doy_peak,0.012769954
SAR_opt_dtharv_diff,0.012764393
VH_mean_doy_peak,0.012653364
LSWI2_doy_peak,0.012414608
WDRVI_doy_peak,0.011011974
CIre2_doy_peak,0.010219178
B8A_mean_doy_peak,0.009479593
EVI_doy_peak,0.009337553
DpRVI_dtharv,0.008336762
CIre_doy_peak,0.005744947
NBR_dtharv,0.004608192
GNDVI_dtharv,0.0
WDRVI_dtharv,0.0
MSAVI2_dtharv,0.0
SAVI_dtharv,0.0
B12_mean_dtharv,0.0
B11_mean_dtharv,0.0
B08_mean_dtharv,0.0
B8A_mean_dtharv,0.0
B04_mean_dtharv,0.0
CIre_dtharv,0.0
LSWI2_dtharv,0.0
CCCI_dtharv,0.0
CIre2_dtharv,0.0
RENDVI_dtharv,0.0
RFDI_dtharv,0.0
VH_backscatter_db_dtharv,0.0
